gene_name,logFC_PA,logFC_PE,pvalue_PA,pvalue_PE,hit_annotation_PA,hit_annotation_PE
QARS,0.3944565,0.2932767,0.0972788,0.2099295,no hit,no hit
ENO1,-0.6567392,-0.5858189,0.0973372,0.1361995,no hit,no hit
GDA,-0.6464967,-0.6086386,0.0986695,0.1184982,no hit,no hit
RPS28,-0.6225026,-0.9282649,0.0987896,0.0181941,no hit,no hit
ARFGAP1,-0.5605887,-0.9075345,0.0993044,0.01144,no hit,no hit
ECI1,0.8083904,1.149963,0.1000294,0.0238445,no hit,enriched candidate
DAG1,0.6328029,0.4841418,0.1001741,0.2015386,no hit,no hit
F11R,0.6703346,0.5786599,0.1011202,0.1531764,no hit,no hit
TUFM,1.1617206,1.7057189,0.1027527,0.0211509,no hit,enriched candidate
HSPA1B|HSPA1A,-0.4351823,-0.1209898,0.1032678,0.6391645,no hit,no hit
MAT2A,-0.6444786,-0.728659,0.1032697,0.0681141,no hit,no hit
SLC1A5,0.4066043,0.179562,0.1039616,0.4594581,no hit,no hit
ALDH3A2,0.7284483,1.1699565,0.104558,0.0132371,no hit,enriched candidate
PRDX3,1.1454577,1.5097689,0.1060583,0.0376813,no hit,enriched candidate
CLINT1,-1.0843148,-1.6696676,0.1061654,0.0173164,no hit,no hit
CAPN2,-0.4646363,-0.3366213,0.1093045,0.2381256,no hit,no hit
CD59,0.5405265,0.5149523,0.1099009,0.1265537,no hit,no hit
ATL2,0.5416945,0.7326634,0.1101676,0.0354658,no hit,enriched candidate
EIF3M,-0.5956659,-0.7569095,0.1116491,0.0475652,no hit,no hit
MYDGF,0.64111,0.4473981,0.1119904,0.2588817,no hit,no hit
CAPRIN1,-1.1131676,-1.8752007,0.113929,0.0118013,no hit,no hit
DLD,0.9607469,1.4164378,0.1139656,0.0247059,no hit,enriched candidate
RAN,-0.3879245,-0.1126817,0.1141586,0.6355767,no hit,no hit
GIGYF2,-0.8588753,-1.3041414,0.1155944,0.0217537,no hit,no hit
DSP,-0.7004315,-0.8915726,0.1169136,0.0503811,no hit,no hit
LSS,0.3643852,0.4395606,0.1178693,0.0630021,no hit,no hit
CDH10,0.5228095,0.4905615,0.1191043,0.1420662,no hit,no hit
SLC38A5,0.5757868,0.3688671,0.1195638,0.3091078,no hit,no hit
USP10,-0.7552357,-1.2279646,0.1196238,0.0159862,no hit,no hit
MCAM,0.7428621,0.8024138,0.1198088,0.0946603,no hit,no hit
MSN,1.4877823,1.3495103,0.1198543,0.1558913,no hit,no hit
TLN1,0.4964995,0.5474012,0.1200941,0.0887615,no hit,no hit
ALG5,0.6799184,1.0268735,0.120567,0.0241057,no hit,enriched candidate
SUPT16H,0.3565489,0.2253326,0.1207534,0.3171152,no hit,no hit
CCT8,0.5130406,0.1856713,0.121007,0.5633561,no hit,no hit
MMP15,0.4099008,0.2804082,0.1213524,0.2807919,no hit,no hit
ADAM9,0.4688802,0.5977875,0.1214535,0.0528125,no hit,enriched candidate
TAPBP,0.5379738,1.0205991,0.1215162,0.0063619,no hit,enriched hit
BZW2,-0.5642821,-0.3594154,0.1219288,0.3150239,no hit,no hit
DDOST,0.587256,0.8253849,0.122585,0.0351435,no hit,enriched candidate
EPB41L2,0.9540247,0.9189382,0.1226985,0.1361664,no hit,no hit
SUCLG2,0.8475886,1.2854421,0.1232421,0.0245393,no hit,enriched candidate
LRPPRC,0.8803241,1.4431776,0.1235478,0.0162604,no hit,enriched candidate
G3BP2,-1.3005146,-1.7375196,0.1238397,0.0447151,no hit,no hit
RPN1,0.9055281,1.2928639,0.1245692,0.0335417,no hit,enriched candidate
RAB8A,0.3653774,0.3123164,0.1251734,0.1861486,no hit,no hit
C17orf75,-0.3864451,-0.4159497,0.1263078,0.1015336,no hit,no hit
HNRNPA2B1,-0.5177406,-0.4120945,0.1267995,0.2188629,no hit,no hit
CAPZB,-0.4487241,-0.2896496,0.1270582,0.3155881,no hit,no hit
HSD17B10,0.6434498,0.9512938,0.1279775,0.0297473,no hit,enriched candidate
FLOT2,0.716083,0.7804755,0.1282138,0.0992654,no hit,no hit
VDAC2,0.6761461,0.7611357,0.1286019,0.0897448,no hit,no hit
SLIRP,0.8045309,1.490946,0.1291731,0.0085609,no hit,enriched hit
ANXA3,-0.6137583,-0.833847,0.1298005,0.0447137,no hit,no hit
STT3A,0.5832009,1.0951797,0.130501,0.0080497,no hit,enriched hit
COX5A,0.6865719,1.0359832,0.1308077,0.027985,no hit,enriched candidate
CD320,0.3318795,0.5271437,0.1317788,0.0218707,no hit,no hit
EIF4A1,-1.0769287,-1.492122,0.1320805,0.0422135,no hit,no hit
HSPA5,0.7608667,1.0473646,0.1340677,0.044453,no hit,enriched candidate
ARL15,0.4211931,0.4453741,0.134865,0.1151489,no hit,no hit
FAM234A,0.4876238,0.1647107,0.1354343,0.604106,no hit,no hit
SGTA,-0.6912632,-1.094996,0.1355253,0.0233942,no hit,no hit
ACTR3,0.7209652,0.7582484,0.1361174,0.1181581,no hit,no hit
GPX8,0.7813264,0.8794929,0.1384419,0.097955,no hit,no hit
NSDHL,0.610431,0.9967437,0.1396551,0.0211687,no hit,enriched candidate
SAE1,-0.6869693,-0.9734499,0.1399645,0.0420202,no hit,no hit
TPI1,-0.8752863,-1.3146029,0.14031,0.0324097,no hit,no hit
GNB2,0.9235087,1.1148611,0.1415669,0.0798367,no hit,no hit
PHB,1.0004014,1.5166908,0.1415971,0.0315096,no hit,enriched candidate
ALDOC,-0.46236,-0.3477376,0.1417159,0.2629377,no hit,no hit
DNPH1,-0.5491632,-0.8279897,0.1432261,0.0330101,no hit,no hit
BSG,0.7674527,0.5553078,0.1432631,0.2827719,no hit,no hit
NUDT21,0.3128488,0.4548815,0.1436832,0.0391836,no hit,no hit
CNOT1,-0.977367,-1.1739267,0.1438879,0.0829808,no hit,no hit
EZR,1.2053525,0.9549854,0.1447796,0.2428373,no hit,no hit
RPS12,-0.5167728,-0.8568059,0.1453146,0.021143,no hit,no hit
ERP29,0.8413553,1.0042259,0.1453974,0.0859217,no hit,no hit
RHOA,0.3476848,0.1425033,0.145595,0.5409533,no hit,no hit
FLOT1,0.7270289,0.7289149,0.1458074,0.1448243,no hit,no hit
KDELC2,0.4823694,0.50897,0.1460138,0.1262608,no hit,no hit
GCN1,-1.0153633,-1.3456809,0.1481564,0.0604547,no hit,no hit
STX6,-0.3582669,-0.5070005,0.1487628,0.0466926,no hit,no hit
GSS,-0.5830147,-0.7431179,0.1490047,0.0705628,no hit,no hit
RPS10,-1.0015419,-1.6051252,0.1493796,0.0265737,no hit,no hit
CPM,0.6025927,0.6217837,0.1507395,0.1388656,no hit,no hit
NAA15,-1.1184321,-1.2229087,0.1511476,0.1184855,no hit,no hit
SBDS,-0.6783491,-0.9443653,0.1515137,0.0514816,no hit,no hit
DKFZp566H1924|NPTN,0.7993142,0.6960397,0.1515462,0.2086499,no hit,no hit
CNP,1.0902907,0.9573946,0.1517786,0.2052775,no hit,no hit
PLOD3,0.7053834,0.7502766,0.1517808,0.128765,no hit,no hit
SYNGR2,-0.5886332,-0.7269089,0.1522276,0.081305,no hit,no hit
TUBB,-0.6155474,-0.768917,0.1551852,0.0802265,no hit,no hit
HSPD1,0.9014326,1.912191,0.1561475,0.0056146,no hit,enriched hit
TPP2,0.814883,0.9129634,0.156263,0.1146645,no hit,no hit
PSME2,-0.6709449,-0.7246149,0.1574189,0.1284819,no hit,no hit
TMEM43,0.3461815,0.6961019,0.1575705,0.0082253,no hit,enriched candidate
FOLR1,0.7011765,0.5161595,0.1580814,0.2926925,no hit,no hit
MDH1,-0.5272863,-0.7207143,0.1583154,0.0593683,no hit,no hit
PMPCB,0.6668214,1.0407801,0.1590304,0.0340044,no hit,enriched candidate
COLGALT1,0.8325576,0.9915497,0.1591766,0.0972406,no hit,no hit
ARPC3,0.3714443,0.3898731,0.1598194,0.141171,no hit,no hit
ATP5H,0.8068191,1.3281275,0.1600204,0.0266435,no hit,enriched candidate
LGALS1,0.4184166,0.377091,0.160468,0.2036356,no hit,no hit
RTN4RL2,0.4518794,0.1716733,0.1605016,0.585125,no hit,no hit
CAPZA2,-0.3140864,-0.2204797,0.1619901,0.31965,no hit,no hit
TPM3|DKFZp686J1372,0.6399644,0.7849955,0.162359,0.090711,no hit,no hit
FAM120A,-0.6677745,-1.000394,0.1667286,0.044513,no hit,no hit
ATP11C,0.3302766,0.3856727,0.1685136,0.1110997,no hit,no hit
CNPY3,0.433502,0.3995845,0.1691744,0.2033025,no hit,no hit
PSME1,-0.8286533,-1.0987392,0.1701342,0.0742297,no hit,no hit
EIF5B,-0.9652211,-1.4702232,0.1713992,0.0435545,no hit,no hit
DSTN,0.4122759,0.4583294,0.1724723,0.1316024,no hit,no hit
ATP5B,0.6481431,0.9215067,0.1725493,0.0584757,no hit,enriched candidate
TXNL1,-0.5509991,-0.843984,0.1734693,0.043459,no hit,no hit
PRDX2,-0.7865315,-1.1430588,0.175715,0.0552915,no hit,no hit
HSPA13,0.4182579,0.6785729,0.1760926,0.0345871,no hit,enriched candidate
SERPINH1,0.9489722,1.1811706,0.1769333,0.0972135,no hit,no hit
AHCY,-0.3680976,-0.1397386,0.1802514,0.6032224,no hit,no hit
WDR61,-0.534753,-0.8538863,0.1806211,0.0390773,no hit,no hit
DYNC1H1,-0.9744223,-1.1785718,0.1809552,0.1095142,no hit,no hit
PHB2,1.0352517,1.5160953,0.1812454,0.056563,no hit,enriched candidate
CAT,0.5579615,0.9047239,0.18141,0.0367822,no hit,enriched candidate
EIF3K,-0.3610334,-0.8200624,0.181426,0.0053934,no hit,no hit
PRKAR2A,-0.2634099,-0.4239554,0.1821578,0.0383458,no hit,no hit
RPL38,-1.3763703,-1.1037475,0.1822352,0.2805586,no hit,no hit
ACSL4,0.9251326,0.7330185,0.1822896,0.2862276,no hit,no hit
NPR3,0.3784486,0.4070312,0.18241,0.1530885,no hit,no hit
HLA-C,0.3664717,0.1795401,0.1843322,0.5075474,no hit,no hit
LARP4,-0.8570415,-1.3631832,0.1843746,0.0413741,no hit,no hit
XPO1,-0.4884276,-0.1528032,0.184972,0.6715277,no hit,no hit
PRMT1,-0.4148341,-0.7798299,0.1861481,0.0186331,no hit,no hit
ITGA3,0.4757438,0.3885013,0.1862523,0.2765854,no hit,no hit
RACGAP1,1.2548032,1.0570651,0.1863014,0.2622452,no hit,no hit
RPLP1,-0.6976493,-0.9099714,0.1880194,0.0910683,no hit,no hit
MYO1B,1.0768574,1.1413346,0.1884016,0.1645073,no hit,no hit
SLC35B2,-0.4295009,-0.2921223,0.1891595,0.3656743,no hit,no hit
HSPA8,-0.3693488,-0.2270991,0.1905722,0.4140493,no hit,no hit
PSMA2,-0.3567348,-0.2878853,0.1908187,0.2871562,no hit,no hit
AP2A1,0.4433187,0.2973237,0.1915044,0.3748292,no hit,no hit
TOR1AIP2,0.4197331,0.3163467,0.1921655,0.3207269,no hit,no hit
ACTN1,0.9289429,1.1353098,0.1938871,0.116355,no hit,no hit
PGRMC1,0.4523851,0.5333885,0.1948146,0.129705,no hit,no hit
ACTN4,1.2041321,1.3633746,0.1955819,0.1453544,no hit,no hit
PABPC4,-0.6944954,-1.1678814,0.1959278,0.036456,no hit,no hit
G3BP1,-0.9409152,-1.525069,0.1964417,0.043159,no hit,no hit
ADRM1,-0.5774512,-0.7601194,0.1966368,0.0944389,no hit,no hit
P4HA1,0.4905861,0.7315302,0.1977732,0.0614149,no hit,enriched candidate
CMPK1,-0.5004241,-0.7324657,0.1978787,0.0659533,no hit,no hit
HPRT1,-0.6949907,-0.5934223,0.1993951,0.2702627,no hit,no hit
GRB2,-0.5558618,-0.6632522,0.200744,0.1304002,no hit,no hit
SLC6A9,0.3530572,0.0430949,0.2012579,0.8732198,no hit,no hit
NASP,-0.5373574,-0.8833073,0.2024011,0.043124,no hit,no hit
ECHS1,0.7161459,1.2456994,0.2028539,0.0336037,no hit,enriched candidate
FDFT1,0.5369991,0.906592,0.2040962,0.0390194,no hit,enriched candidate
CRELD1,0.3407067,0.1745879,0.2045007,0.5085792,no hit,no hit
PTPRF,0.7766446,0.8001789,0.2048545,0.1920595,no hit,no hit
SLC2A1,0.3761336,0.2777946,0.2057072,0.3451433,no hit,no hit
EIF4A3,-0.7338368,-0.9888043,0.2057364,0.093762,no hit,no hit
MYO1C,1.2340096,1.3361376,0.2060303,0.1725278,no hit,no hit
MGST1,0.6989488,0.9786733,0.2068239,0.0832118,no hit,no hit
TXLNG,-0.8441387,-1.411581,0.2068484,0.041856,no hit,no hit
GORASP2,-0.5605087,0.0462007,0.2071039,0.9153207,no hit,no hit
7-Sep,-1.2334307,-1.51991,0.2071909,0.1242262,no hit,no hit
ASPH,0.9251205,1.2596332,0.2073504,0.0917313,no hit,no hit
GDPD3,0.3772271,0.3725936,0.207759,0.2131561,no hit,no hit
SNTB2,0.5476806,0.7260393,0.2080427,0.1004546,no hit,no hit
HPCAL1,-0.5952747,-0.6338699,0.2081707,0.1814264,no hit,no hit
CLPTM1,0.4093705,0.6133579,0.2088599,0.0664599,no hit,enriched candidate
2-Sep,-0.8926841,-1.0904602,0.2095095,0.1292285,no hit,no hit
DNAJB11,0.909842,0.9897602,0.2109674,0.1752513,no hit,no hit
TMEM259,0.4572342,0.5374831,0.2135374,0.1468733,no hit,no hit
CD276,0.3194928,0.2672407,0.2136433,0.2951536,no hit,no hit
ITGA1,0.7363086,0.7095578,0.2178101,0.2342999,no hit,no hit
CKAP4,1.0374425,1.3524718,0.218704,0.1138606,no hit,no hit
ALDOA,-0.4578697,-0.6252609,0.2198786,0.0996045,no hit,no hit
VASN,0.3945106,0.2133211,0.2206697,0.5015023,no hit,no hit
TXLNA,-0.7825708,-1.3905142,0.2223436,0.037387,no hit,no hit
LGALS3,0.3152423,0.2921546,0.2228815,0.2572663,no hit,no hit
ECI2,0.7559716,1.156379,0.2230628,0.0693628,no hit,enriched candidate
AUP1,0.7653565,0.9183123,0.2247176,0.1487121,no hit,no hit
KIF23,1.3762028,1.1455282,0.2249349,0.3094339,no hit,no hit
DDX39B,-0.4483316,-0.0884175,0.2278352,0.8083495,no hit,no hit
ARPC2,0.8387718,0.942093,0.2294064,0.1792502,no hit,no hit
PSMB4,-0.4262704,-0.3543919,0.2300335,0.3153738,no hit,no hit
FKBP10,0.4576698,0.6133966,0.2301868,0.1132303,no hit,no hit
MBOAT7,0.5866982,0.9957172,0.2301932,0.0492205,no hit,enriched candidate
CLPP,0.4817375,0.7479977,0.2305996,0.0698576,no hit,enriched candidate
LIMA1,0.7611764,0.9203629,0.2311615,0.1512981,no hit,no hit
PODXL2,0.3814965,0.365509,0.2315324,0.2509176,no hit,no hit
TKT,-0.3688553,-0.4913761,0.2315713,0.1163288,no hit,no hit
DDX6,-0.8606561,-1.1429265,0.2327959,0.1183436,no hit,no hit
HMGB1,-0.7689009,-1.0217888,0.2341188,0.1191183,no hit,no hit
ATP2A2,0.5280694,0.9832882,0.2350848,0.034379,no hit,enriched candidate
RSU1,-0.529302,-0.4237555,0.2352318,0.338593,no hit,no hit
S100A16,-0.3952593,-0.8653984,0.2363937,0.0151367,no hit,no hit
CCDC47,0.9389928,1.2682447,0.2368414,0.1156282,no hit,no hit
HADHA,0.4662461,0.9638485,0.2393573,0.0214936,no hit,enriched candidate
MTHFD1,-0.9865059,-1.2043627,0.2396704,0.1548941,no hit,no hit
PSMA7,-0.2666472,-0.0195521,0.2407575,0.9301211,no hit,no hit
ITGB1,0.6028352,0.6285449,0.2430567,0.224289,no hit,no hit
CAP1,-0.467502,-0.3160625,0.2434228,0.4256011,no hit,no hit
ATP6AP2,0.4593696,0.4762395,0.245817,0.2295416,no hit,no hit
NRAS,-0.355589,-0.6062246,0.2459363,0.0556734,no hit,no hit
ABCF2,-0.838477,-1.2729247,0.2464148,0.0855027,no hit,no hit
SLC22A18,0.4999536,0.6506782,0.2465142,0.1363421,no hit,no hit
MYO1E,1.037495,1.0311746,0.2482288,0.2510173,no hit,no hit
PGRMC2,0.5230338,0.4461151,0.2494738,0.3235609,no hit,no hit
CD109,0.5226382,0.2843424,0.2494741,0.5255844,no hit,no hit
PABPC1,-0.7657607,-1.2853266,0.2502205,0.0613787,no hit,no hit
COMT,0.3793053,0.5558602,0.2502978,0.0986723,no hit,no hit
SACM1L,0.6798284,0.8889034,0.250487,0.1378444,no hit,no hit
GARS,-0.5564182,-0.617841,0.2531211,0.2063277,no hit,no hit
REEP6,-0.3948524,-0.5485894,0.2555428,0.1200405,no hit,no hit
CSPG4,0.3372564,0.2071553,0.2574308,0.4818129,no hit,no hit
RPL18A,-0.8012599,-1.0647002,0.2577255,0.1377294,no hit,no hit
WLS,0.3405494,0.6001163,0.2585101,0.0544451,no hit,enriched candidate
HNRNPA1,-0.7122415,-0.0891362,0.2596919,0.8858464,no hit,no hit
CXADR,0.3314016,0.180373,0.2596961,0.5344966,no hit,no hit
TMX3,0.3871463,0.4835278,0.2613083,0.164626,no hit,no hit
SCAMP1,-0.3356148,-0.5459533,0.2623313,0.0759383,no hit,no hit
EIF1AY|EIF1AX,-0.9107681,-1.1709613,0.2623737,0.1540957,no hit,no hit
TAP1,0.5026019,1.0862074,0.2644086,0.0226909,no hit,enriched candidate
RBMX,-0.646381,0.0391064,0.2654104,0.9453388,no hit,no hit
CLTC,-0.6017355,-0.9168297,0.2672966,0.0980671,no hit,no hit
TM9SF4,-0.3620671,-0.381575,0.2680679,0.2440042,no hit,no hit
FXR1,-0.813101,-1.0024651,0.2688156,0.1764772,no hit,no hit
ERH,-0.5510695,-0.0124216,0.2701238,0.9798265,no hit,no hit
ANXA4,-0.3897706,-1.0457973,0.2713977,0.0069116,no hit,no hit
VAMP3,-0.3572429,-0.525288,0.2717534,0.1126949,no hit,no hit
LDLR,-0.3726042,-0.4455738,0.2733777,0.1933577,no hit,no hit
10-Sep,-0.8078085,-1.053354,0.2742079,0.1585877,no hit,no hit
PODXL,0.436464,0.4962518,0.2764118,0.2180638,no hit,no hit
CFL1,0.3755804,0.6947909,0.2771756,0.0526751,no hit,enriched candidate
GEMIN5,-0.9234248,-1.1881832,0.2773421,0.1665755,no hit,no hit
CNPY2|F8W031,0.6198838,0.6623748,0.2774079,0.246877,no hit,no hit
VIM,-0.7550759,0.2748573,0.277643,0.6885019,no hit,no hit
RPS25,-1.0555336,-1.4913347,0.2778374,0.1311902,no hit,no hit
SLC44A1,0.5331593,0.319194,0.2799447,0.5133502,no hit,no hit
TM9SF3,-0.4410135,-0.2820623,0.2804642,0.4858499,no hit,no hit
VDAC1,0.4891815,0.6999095,0.2832936,0.1308736,no hit,no hit
METAP2,-1.1672268,-1.7239209,0.2838974,0.1200882,no hit,no hit
AP2M1,0.6692516,0.4596463,0.2839912,0.4580464,no hit,no hit
NCEH1,0.389553,0.4323896,0.2842689,0.2363231,no hit,no hit
GPRC5A,0.5835683,0.7300156,0.2844384,0.1843865,no hit,no hit
SCAMP2,-0.3611587,-0.7141227,0.2845094,0.0425531,no hit,no hit
APMAP,0.4756683,0.4846636,0.2868441,0.2781128,no hit,no hit
GPD2,0.7016824,1.3088019,0.2878149,0.0558469,no hit,enriched candidate
RPS7,-0.8317582,-1.1847248,0.2886797,0.1367301,no hit,no hit
PSMB1,-0.3880081,-0.1190548,0.2891161,0.7414412,no hit,no hit
SLC16A1,0.2446925,0.1246826,0.2914283,0.5865823,no hit,no hit
P4HB,0.5295123,0.5141162,0.2925002,0.3063375,no hit,no hit
ANXA2,0.2289044,0.0315289,0.2959714,0.8838129,no hit,no hit
FARSB,-0.6211158,-0.9754518,0.2960562,0.1081376,no hit,no hit
RAB27B,0.3835296,0.2493259,0.2963088,0.4934005,no hit,no hit
VAPA,0.5013389,0.9139444,0.2965477,0.0655578,no hit,enriched candidate
RAB1B,-0.3824102,-0.4802344,0.2980556,0.1950401,no hit,no hit
9-Sep,-0.9908514,-1.1495393,0.2982647,0.229899,no hit,no hit
DEGS1,0.3264638,0.5725459,0.3008159,0.0779586,no hit,no hit
DLG1,0.268508,0.4981249,0.3014211,0.0638309,no hit,no hit
ZMPSTE24,0.4647001,0.7210685,0.3040662,0.1179194,no hit,no hit
RABAC1,-0.4214853,-0.4863726,0.3040845,0.2378858,no hit,no hit
CSDE1,-0.8677602,-1.3081679,0.3051104,0.1288399,no hit,no hit
SCD,0.4187249,0.8347019,0.3058105,0.0498486,no hit,enriched candidate
SLC5A6,-0.2534202,-0.5117102,0.3077571,0.0480789,no hit,no hit
HDGF,-0.3794429,-0.7799302,0.3080303,0.0447058,no hit,no hit
FAU,-1.2183756,-1.5092772,0.3086996,0.2107272,no hit,no hit
S100A13,-0.5376245,-0.9305155,0.3089895,0.0865794,no hit,no hit
RPL5,-0.6903833,-1.1747547,0.309751,0.0920863,no hit,no hit
PLD3,0.2875705,0.3640653,0.309841,0.2023372,no hit,no hit
TPM4,0.4376922,0.5770425,0.3109776,0.1861186,no hit,no hit
RPS14,-0.7317541,-1.1634865,0.3128199,0.1159482,no hit,no hit
STT3B,1.2871175,1.3664882,0.3142492,0.2861883,no hit,no hit
FUBP1,-0.3619687,-0.6758808,0.3153676,0.0695858,no hit,no hit
SFPQ,-0.5062834,-0.0471734,0.3154967,0.9244352,no hit,no hit
ESYT1,0.6876612,0.9129691,0.3183955,0.1898051,no hit,no hit
M6PR,-0.5028284,-0.6549505,0.320501,0.199845,no hit,no hit
FLVCR1,0.3130558,0.0821283,0.3209768,0.7919818,no hit,no hit
RUVBL2,-0.5663251,-0.7702881,0.3221846,0.1830327,no hit,no hit
CORO1C,0.5854411,0.6345545,0.3242751,0.2864592,no hit,no hit
RPL14,-1.0125213,-1.3067001,0.3250588,0.2080305,no hit,no hit
TMEM165,-0.4216952,-0.4595446,0.3262406,0.2858887,no hit,no hit
NCL,0.3709587,0.7250099,0.3266669,0.0642066,no hit,enriched candidate
IKBIP,0.7831438,1.1417357,0.3269566,0.1589767,no hit,no hit
EIF2A,-0.6542443,-1.0084641,0.3272351,0.1378801,no hit,no hit
SEC61B,0.3143726,0.2599649,0.3276498,0.4163027,no hit,no hit
PSMA3,-0.404046,-0.5553528,0.327942,0.1837614,no hit,no hit
CYB5R3,0.4456785,0.7990912,0.3290754,0.0887368,no hit,no hit
AK2,0.5170853,0.9504375,0.3293545,0.0817618,no hit,no hit
RPL24,-0.9191877,-1.3019531,0.3362564,0.1786114,no hit,no hit
RPL36A|RPL36A-HNRNPH2,-0.8823112,-1.3371821,0.3364819,0.1517261,no hit,no hit
ARPC4-TTLL3|ARPC4,0.3463547,0.4158419,0.3367566,0.2514127,no hit,no hit
DDX3X,-0.7297179,-1.0153922,0.3378197,0.1873957,no hit,no hit
HLA-A,0.2389993,0.0103419,0.3387667,0.9665554,no hit,no hit
TMX2,0.33174,0.9467155,0.3411925,0.0120021,no hit,enriched candidate
STX10,-0.3488578,-0.485636,0.3420549,0.1910114,no hit,no hit
CALR,0.3275359,0.5172317,0.3420856,0.1406136,no hit,no hit
PPP3CA,-0.238898,-0.399238,0.3423152,0.1203675,no hit,no hit
EIF3G,-0.8235661,-1.2972172,0.342382,0.1418085,no hit,no hit
RPLP0,-0.6730905,-1.0651957,0.3433146,0.1407894,no hit,no hit
SLC7A2,-0.2848604,-0.3995457,0.3448875,0.1903705,no hit,no hit
SLC31A1,0.2908689,-0.0560104,0.3458152,0.8542247,no hit,no hit
RPS8,-0.8715098,-1.1752908,0.346118,0.2083535,no hit,no hit
TMED5,-0.4449062,-0.143135,0.3470317,0.7596693,no hit,no hit
RPL35,-0.9043925,-1.1620853,0.348088,0.2315781,no hit,no hit
SCP2,0.5047331,1.0237617,0.3484288,0.0664381,no hit,enriched candidate
E9PAM4|PI4K2A,-0.3162002,-0.4878897,0.3495461,0.1555436,no hit,no hit
RPL11,-0.8546576,-1.1890316,0.3500932,0.1985455,no hit,no hit
RPL15,-0.797802,-0.9475853,0.3502915,0.269608,no hit,no hit
TSPAN4,0.6361595,0.2973885,0.3508632,0.6597311,no hit,no hit
RPS20,-0.873913,-1.3810225,0.3543163,0.1502141,no hit,no hit
TECR,0.7546452,0.8234753,0.3547755,0.3136913,no hit,no hit
NAPA,-0.2622515,-0.3380945,0.3551982,0.2368901,no hit,no hit
KDSR,0.3551705,0.4978699,0.3584189,0.202922,no hit,no hit
ITGA2,0.5012052,0.2802604,0.3592761,0.605316,no hit,no hit
XRCC5,-0.5917313,-0.7128302,0.3605306,0.2731589,no hit,no hit
SYNCRIP,-0.5910552,-0.8579058,0.3608183,0.1902191,no hit,no hit
SURF4,-0.2996728,-0.2397919,0.3612315,0.4631764,no hit,no hit
SYPL1,-0.546815,-0.3614096,0.3617302,0.5440042,no hit,no hit
FKBP9,0.385595,0.3653033,0.3620501,0.3873045,no hit,no hit
RPL7,-0.8038363,-1.2803383,0.3623667,0.153799,no hit,no hit
MICA,0.3456726,0.3609124,0.3624216,0.3421447,no hit,no hit
RPL36,-0.9026262,-1.168422,0.3626459,0.24222,no hit,no hit
RPS3A,-0.7393476,-1.0960594,0.3650739,0.1851519,no hit,no hit
CYB5B,0.5613273,0.6710972,0.3671943,0.2832957,no hit,no hit
RHEB,0.2058517,0.2394298,0.3682448,0.2972043,no hit,no hit
SEC61A1,0.2966841,0.6914496,0.3688266,0.0454093,no hit,enriched candidate
PDIA4,0.6446313,0.8142042,0.368855,0.2594935,no hit,no hit
