gene_name,logFC,pvalue,numReplicates,AveExpr,LipidProbe,hit_annotation
ARPC2,-7.071610078288534,1e-17,1,4.910667918856223,BF-NAPE,no hit
COPS8,-7.071610078288534,1e-17,1,5.81679595576796,BF-NAPE,no hit
DSC1,-7.071610078288534,1e-17,1,6.070954092437001,BF-NAPE,no hit
DSC3,-7.071610078288534,1e-17,1,5.428806933887936,BF-NAPE,no hit
DSG1,-7.071610078288534,1e-17,2,6.589993140235219,BF-NAPE,no hit
EIF3H; EIF3S3,-7.071610078288534,1e-17,1,5.488448255756657,BF-NAPE,no hit
FGFR4,-7.071610078288534,1e-17,1,5.648150559785953,BF-NAPE,no hit
FLG2,-7.071610078288534,1e-17,3,5.899711859701275,BF-NAPE,no hit
FUBP3,-7.071610078288534,1e-17,1,5.450619188642063,BF-NAPE,no hit
HRNR,-7.071610078288534,1e-17,3,6.12351126594172,BF-NAPE,no hit
KRT19,-7.071610078288534,1e-17,1,5.259179923960692,BF-NAPE,no hit
KRT6C,-7.071610078288534,1e-17,1,6.404388486242452,BF-NAPE,no hit
NAPB,-7.071610078288534,1e-17,1,5.468785881207558,BF-NAPE,no hit
NUBP2,-7.071610078288534,1e-17,1,5.012454347250505,BF-NAPE,no hit
PABPC3,-7.071610078288534,1e-17,1,5.616361838107575,BF-NAPE,no hit
PKP1,-7.071610078288534,1e-17,1,6.498186518670989,BF-NAPE,no hit
SLC9A3R1,-7.071610078288534,1e-17,1,5.113182069791776,BF-NAPE,no hit
SRP54,-7.071610078288534,1e-17,1,5.490194404909212,BF-NAPE,no hit
TSFM,-7.071610078288534,1e-17,1,5.8132779274262285,BF-NAPE,no hit
TTLL12,-7.071610078288534,1e-17,1,5.8394461890399425,BF-NAPE,no hit
KRT77,-5.189248674078883,1e-17,3,7.710574441331185,BF-NAPE,no hit
ALB,-5.091789518834272,1e-17,3,8.325973283635914,BF-NAPE,no hit
KRT1,-4.998063573996248,1e-17,3,9.093266756434083,BF-NAPE,no hit
UBE2L5,-4.96430071332608,1.41333333334e-6,3,5.663356707607313,BF-NAPE,no hit
KRT2,-4.950085934189915,1e-17,3,8.182326153920158,BF-NAPE,no hit
DSP,-4.8831792380948595,1.3692133333334e-4,3,7.016792875666607,BF-NAPE,no hit
KRT6B,-4.861840632531641,1e-17,2,7.1273411657456585,BF-NAPE,no hit
KRT9,-4.827737504008327,1e-17,3,9.003131267168254,BF-NAPE,no hit
KRT16,-4.635193758016328,1e-17,3,7.786018747598025,BF-NAPE,no hit
KRT10,-4.630042540547491,1e-17,3,8.500876911546806,BF-NAPE,no hit
RAB6A,-4.505259463616251,0.04906014933333334,3,5.566799032756772,BF-NAPE,no hit
INF2,-4.2806332028641245,1.2585900000000502e-4,2,5.304180914005165,BF-NAPE,no hit
KRT4,-4.221390219217987,3.335e-15,2,6.144156633427949,BF-NAPE,no hit
GSTK1,-3.8386228460364986,0.04372783000000001,2,5.656589501267794,BF-NAPE,no hit
LMAN2,-3.7657287982560974,0.028083034000000007,2,7.468572337336187,BF-NAPE,no hit
PRKAR1A,-3.6981849867395082,0.2798118005,2,5.910935548472676,BF-NAPE,no hit
VASP,-3.638650671012427,1e-17,1,6.3691501978858716,BF-NAPE,no hit
FLOT1,-3.5199661740825223,0.121259115,2,5.507358850475987,BF-NAPE,no hit
ALG1,-3.4942010237624817,0.172880152,2,4.938121225418118,BF-NAPE,no hit
SEC31A,-3.391515743257177,0.4837085985,2,5.086546231187995,BF-NAPE,no hit
CD109,-3.3601151716384456,1e-17,1,6.025861514347304,BF-NAPE,no hit
KRT5,-3.3276200984416637,1e-17,3,7.3439456505667025,BF-NAPE,no hit
YBX3,-3.2591209885040153,0.1306860275,2,5.379182448367902,BF-NAPE,no hit
GBE1,-3.2148309000861373,0.001526841000000005,2,5.572156653495844,BF-NAPE,no hit
DYNC1LI2,-3.105650383238513,0.008052217500000005,2,5.705125118248928,BF-NAPE,no hit
KRT6A,-3.021278908785934,0.325579267,2,8.415764945157026,BF-NAPE,no hit
TOP2A,-2.858624664870609,1e-17,3,6.824526591118045,BF-NAPE,no hit
ALDH2,-2.71405807367045,1e-17,1,5.906234404222097,BF-NAPE,no hit
NACA2,-2.59912230682579,1e-17,1,6.752677397333736,BF-NAPE,no hit
GGCT,-2.568861607632016,0.32304948366666664,3,5.354926664067063,BF-NAPE,no hit
BLVRB,-2.518356883304134,0.3920757006666667,3,5.775062198194849,BF-NAPE,no hit
CCAR2,-2.4737782079142727,0.6149770593333334,3,5.161419485942234,BF-NAPE,no hit
KRT85,-2.4428502162376975,0.2611802163333333,3,6.622174667020297,BF-NAPE,no hit
LOC51035,-2.370113196401161,0.49977911599999997,3,5.957786413670922,BF-NAPE,no hit
KRT14,-2.347253271268953,0.2933949246666666,3,7.3165466225188975,BF-NAPE,no hit
LRRFIP1,-2.3156668003583767,0.15026128766666666,3,5.338735542119425,BF-NAPE,no hit
PSMD7,-2.229568185129648,0.45752847,3,5.552068794449486,BF-NAPE,no hit
PABPC4,-2.1781689923312753,0.22444205833333333,3,5.479570549367775,BF-NAPE,no hit
GNB1,-2.0392753587480588,0.181146329,3,5.813319463473176,BF-NAPE,no hit
EIF5B,-1.8064292343537367,0.15010361436666667,3,5.432178340733501,BF-NAPE,no hit
TOP2B,-1.8054939398126129,1.0000666666666667e-13,3,7.07617948001197,BF-NAPE,no hit
IKBIP,-1.4926713651951473,2.99006e-4,1,5.123524572463907,BF-NAPE,no hit
EDF1,-1.4219946192251238,1.33831e-4,1,5.494987584383179,BF-NAPE,no hit
IDH2,-1.3220758106192716,2.20018e-4,1,5.494427682153407,BF-NAPE,no hit
GGH,-1.211143819771367,2.18037e-4,1,5.645110284552566,BF-NAPE,no hit
FANCI,-1.1432397552695635,0.002305482,1,5.608589626427379,BF-NAPE,no hit
TIGAR,-1.0603828228652794,0.009297801,1,5.3068067440023885,BF-NAPE,no hit
DDX6,-0.8660611671154999,0.022805842,1,5.524546581737329,BF-NAPE,no hit
KRT13,-0.8660611671154999,2.59927e-4,1,5.985169848176295,BF-NAPE,no hit
RBM8A,-0.8466437132882592,0.008457033,1,5.759599980912605,BF-NAPE,no hit
VDAC3,-0.8422222287484118,0.0035185015,2,5.909525993289375,BF-NAPE,no hit
NXN,-0.8293886831901642,0.066951284,1,5.357373017747545,BF-NAPE,no hit
KRT78,-0.8282503781613695,0.10586347100000001,2,5.774782023615693,BF-NAPE,no hit
NAA10,-0.8217855296723504,0.070156484,1,5.356819554433695,BF-NAPE,no hit
RER1,-0.8066983852140693,0.028221553,1,5.453416867076545,BF-NAPE,no hit
ESD,-0.7975700054959614,0.47142795200004806,2,5.958291778030122,BF-NAPE,no hit
NIT2,-0.7623611174719174,0.085094631,1,5.177640642513219,BF-NAPE,no hit
PGP,-0.7502547803544004,0.1476139855,2,5.554386044496751,BF-NAPE,no hit
GOLPH3,-0.7471474700680298,0.016036253,3,5.906050866342161,BF-NAPE,no hit
NUP62,-0.7460797467209755,0.107798972,1,5.348415491805284,BF-NAPE,no hit
NASP,-0.7070376459926776,1.02e-5,1,5.9303064059966655,BF-NAPE,no hit
SEC61A1,-0.6879057858144814,0.067673979,1,5.6216044072270925,BF-NAPE,no hit
UMPS,-0.6879057858144814,0.158391589,1,5.327552758958656,BF-NAPE,no hit
VPS26A,-0.6819371217649961,0.1036913755,2,5.468731011539883,BF-NAPE,no hit
RPL32,-0.6532515321504249,0.0035912725,2,6.013596385033073,BF-NAPE,no hit
RNPEP,-0.643668745779052,0.116132858,1,5.378126098024871,BF-NAPE,no hit
NAPA,-0.6404880341841857,0.006275902,2,5.678156828703455,BF-NAPE,no hit
PSMA1,-0.6280617348933515,0.03387210673333334,3,6.985897729478183,BF-NAPE,no hit
FARSB,-0.6253775653426119,0.0071329825,2,6.120870854534312,BF-NAPE,no hit
ATP6V1H,-0.5829665384347489,0.282822272,1,4.955047469727417,BF-NAPE,no hit
HMOX1,-0.5782961749085199,0.0681942145,2,4.973350863145713,BF-NAPE,no hit
PRMT1,-0.5730146741254866,0.44838298833333334,3,6.060186830771797,BF-NAPE,no hit
HNRNPUL2,-0.5728923355352484,0.19522226066666667,3,6.490901436436939,BF-NAPE,no hit
SRSF7,-0.5559317801606791,0.4006818085,2,6.248117432186101,BF-NAPE,no hit
KDELR2,-0.5511878297620879,0.115229481,1,5.471819988223852,BF-NAPE,no hit
PGRMC1,-0.5493805723624995,0.49665085350000004,2,5.468469320113882,BF-NAPE,no hit
SARNP,-0.5480481222315207,0.288388906,1,5.350007205282974,BF-NAPE,no hit
AK3,-0.521632935516709,0.193439973,1,5.7944290722264205,BF-NAPE,no hit
PSMD4,-0.5195580724263286,0.33552644750000005,2,5.881660853863722,BF-NAPE,no hit
PRMT5,-0.5174605692559476,0.376332283,2,5.7631047410125555,BF-NAPE,no hit
H1-2,-0.5172539898756479,0.19714574066666668,3,7.0795842290693,BF-NAPE,no hit
CSDE1,-0.5057876863026524,0.023071393000000003,2,5.632418837350329,BF-NAPE,no hit
UQCRC2,-0.4892983016059702,0.33342071066667645,3,6.0121592614610595,BF-NAPE,no hit
WDR3,-0.48214618533243664,0.264945802,1,5.369864617610878,BF-NAPE,no hit
ATP6V1E1,-0.47828211706077384,0.203898207,2,5.669328443247028,BF-NAPE,no hit
ANP32E,-0.468725669570115,0.008053143,1,6.352847829938799,BF-NAPE,no hit
ATP5F1C,-0.46647496374519126,0.02796575,3,6.295097328053629,BF-NAPE,no hit
ADSL,-0.4625903480987935,0.0265798695,2,6.027693995027112,BF-NAPE,no hit
UGGT1,-0.4613234212075107,0.322222405,1,5.110939382923811,BF-NAPE,no hit
HSU53209; Tra2a; TRA2A,-0.4598475182236622,0.326629204,1,5.557954349089301,BF-NAPE,no hit
HDGF,-0.4554288469566572,0.010631524,1,6.4294314846420235,BF-NAPE,no hit
CTSA,-0.45475231143316935,0.222215086,2,5.672130522674948,BF-NAPE,no hit
ACSL3,-0.45428936126214753,0.025144168333333335,3,6.3759532509024215,BF-NAPE,no hit
KRT17,-0.4536000322674888,0.10686880200000001,3,8.071106231414667,BF-NAPE,no hit
PDLIM5,-0.45043137877044614,0.14919804766666667,3,5.8202841958943345,BF-NAPE,no hit
SURF4,-0.44714705130176957,0.04989834966666666,3,5.924324689659057,BF-NAPE,no hit
NOP58,-0.44466195398551456,0.24143157599999998,3,5.29269234801659,BF-NAPE,no hit
TOP1,-0.4422534582089239,0.281203052,1,5.398703938931107,BF-NAPE,no hit
DHX36,-0.4263119143399025,0.091950369,1,5.804876888377739,BF-NAPE,no hit
KPNA4,-0.4219946192251239,0.525218677,1,5.217655057795643,BF-NAPE,no hit
LOC101355212; LOC111149970; Rab1b; RAB1B,-0.4205583871096051,0.373360081,1,5.710740290570491,BF-NAPE,no hit
NANS,-0.4191235833703688,0.106614467,1,5.920693241024072,BF-NAPE,no hit
PPP1R12A,-0.4076962361725554,0.556034801,1,4.488841689088403,BF-NAPE,no hit
UTP14A,-0.4076962361725554,0.34435601,1,5.380253509898476,BF-NAPE,no hit
CLU,-0.4072232562422855,0.14864443733333332,3,5.667780816792743,BF-NAPE,no hit
RPS27,-0.40627416110335746,0.278804345,1,6.047764827574484,BF-NAPE,no hit
RALY,-0.40485348640373003,0.343522646,1,5.930509709569767,BF-NAPE,no hit
HEBP1,-0.3995030480911719,0.35615003,2,5.566111649127213,BF-NAPE,no hit
LOC101348686; Rab11b; RAB11B; RAB25,-0.39918473631703794,0.029281176,1,6.544370835969451,BF-NAPE,no hit
TAGLN,-0.39843132312374474,0.07602117399999998,3,6.575492141806077,BF-NAPE,no hit
CAPZA2,-0.3848532595536978,0.093017588500233,2,6.0698344224655685,BF-NAPE,no hit
H31_4; H3110; H315; H3c1; H3C1; H3c10; H3C10; H3c11; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3c8; H3C8; HIST1H3E; LOC100761562; LOC101324316; LOC101349047; LOC101372593; LOC101827561; LOC102026529; LOC102508616; LOC102737083; LOC102839401; LOC102925535; LOC103014184; LOC103081931; LOC103123893; LOC103204632; LOC103274804; LOC103665060; LOC103728672; LOC103792196; LOC104991092; LOC105296402; LOC105858697; LOC106988055; LOC107149316; LOC109252583; LOC109375742; LOC109576630; LOC110132970; LOC110261664; LOC110308655; LOC110586608; LOC111138531; LOC111168515; LOC111541140; LOC111724948; LOC112133749; LOC112412577; LOC112623632; LOC112818031; LOC112853466; LOC112910306; LOC113264299; LOC113881951; LOC113926866; LOC114109686; LOC114484270; LOC114907303; LOC115514796; LOC115832466; LOC115945174; LOC115945193; LOC116546262; LOC116762401; LOC117802192; LOC488263,-0.38231091775264175,0.435285446,1,4.955238848138333,BF-NAPE,no hit
LOC101385100; LOC106558887; LOC106699198; LOC111539843; LOC112652766; LOC112837399; LOC112935166; LOC113184657; LOC116527237; LOC118357100; LOC718737; rpl23a; Rpl23a; RPL23A,-0.373947444818015,0.20266436,1,6.915456618273894,BF-NAPE,no hit
LGALS1,-0.368393559937219,0.2341967971666667,3,6.670348123754089,BF-NAPE,no hit
ACO2,-0.3679566514447418,0.24692032866666666,3,6.156648597984804,BF-NAPE,no hit
STAT3,-0.36790980125421097,0.35182989249999996,2,5.800276229939957,BF-NAPE,no hit
AKR1C2,-0.3646786736741632,0.10251749133333334,3,6.598112839826365,BF-NAPE,no hit
SMC1A,-0.36379200336203704,0.43165374700000003,2,6.362992535028237,BF-NAPE,no hit
CHORDC1,-0.362096778494688,0.502382955,2,6.122104520364723,BF-NAPE,no hit
CHD4,-0.3585170196427885,0.48359840349999994,2,6.179368402052452,BF-NAPE,no hit
ANXA7,-0.3518790215386812,0.004334699,1,5.9298371797532825,BF-NAPE,no hit
HSD17B4,-0.3518790215386812,0.267537056,1,6.5886943122235175,BF-NAPE,no hit
PSMB5,-0.345126105619384,0.24594347,3,5.939990715987253,BF-NAPE,no hit
ACOT7,-0.3450512991835595,0.503665163,1,5.908070733617746,BF-NAPE,no hit
CLIC4,-0.3396122916447913,0.663062741,1,5.315279639412496,BF-NAPE,no hit
PFDN5,-0.33825573767470624,0.473542363,1,5.344945658813892,BF-NAPE,no hit
LTA4H,-0.33456850347524364,0.2927376626666667,3,6.079624629617046,BF-NAPE,no hit
LOC111159418; PARVA,-0.33058950992292213,0.12498747166666667,3,6.044179599167125,BF-NAPE,no hit
LOC111162058; RBM8; Rbm8a; RBM8A,-0.33014309188738655,0.528130453,1,5.947852810153639,BF-NAPE,no hit
STK25,-0.3274489827181234,0.527573132,1,4.835414740587273,BF-NAPE,no hit
RHOA,-0.32743976554933063,0.19226116966666668,3,5.858570611856014,BF-NAPE,no hit
LOC111156567; LOC111546440; LOC112608240; rps6; Rps6; RPS6,-0.3247598951904832,0.367112551,1,6.796281393551946,BF-NAPE,no hit
FABP5,-0.3237185540282708,0.19169455766666668,3,6.577261864994942,BF-NAPE,no hit
PPT1,-0.32207581061927165,0.361435407,1,5.699359635987109,BF-NAPE,no hit
ABCF2,-0.31939671042339035,0.131564748,1,6.0876655716931225,BF-NAPE,no hit
HNRNPH2; LOC703365,-0.31805902368787903,0.616327463,1,5.7076723377335705,BF-NAPE,no hit
OTUB1,-0.3154046499240893,0.14842090000000002,2,6.180640098561714,BF-NAPE,no hit
LAS1L,-0.3113891318220242,0.552680357,1,4.863275681933226,BF-NAPE,no hit
RTRAF,-0.30796932544758254,0.39290766499999996,2,5.907650819333502,BF-NAPE,no hit
TRA2A,-0.30607533192555636,0.489064978,1,5.435194348443116,BF-NAPE,no hit
PSMB7,-0.30449160032357786,0.494508132,3,5.697246057252469,BF-NAPE,no hit
ABCE1,-0.3032143639227475,0.25629349333333334,3,5.688919198716255,BF-NAPE,no hit
DHFR,-0.30313405352679945,0.30937607666666667,3,5.992727715210869,BF-NAPE,no hit
WDR12,-0.3018355765546505,0.6786379525,2,5.07252252450559,BF-NAPE,no hit
ARF6,-0.30078103225604336,0.358078089,1,5.754059733657217,BF-NAPE,no hit
AKR1C3,-0.30058315273908276,0.167199537,3,6.702176218568229,BF-NAPE,no hit
Stxbp1; STXBP1,-0.29921839813757883,0.0783397155,2,5.940861232045507,BF-NAPE,no hit
NNT,-0.2949990383720279,0.14999344533333334,3,6.081335075123986,BF-NAPE,no hit
arf-1; arf1; Arf1; ARF1; LOC101345655; LOC101870110; LOC111139405; LOC113450412; LOC117799365; LOC118357325,-0.29419036277270305,0.498904226,1,6.766193855285202,BF-NAPE,no hit
MT-CO2,-0.2928758341706972,0.512568611,1,5.436430220444708,BF-NAPE,no hit
MAP1B,-0.29164616264557836,0.3004019443333333,3,6.101811876602392,BF-NAPE,no hit
GLRX3,-0.29154940876564195,0.28215152,3,5.932510231807532,BF-NAPE,no hit
LOC111155749; LOC112620866; U2AF1,-0.2910794965079828,0.4989075935,2,6.108239376396455,BF-NAPE,no hit
C17orf98; C9H17orf98; LOC101350060; LOC101879563; LOC107695064; LOC111151337; LOC114116858; LOC114431296; rpl23; Rpl23; RPL23; Rpl23_0; rplN,-0.29025036476387384,0.517539413,1,7.094480160335629,BF-NAPE,no hit
GSS,-0.28762966460473816,0.43283113,1,5.690733989457291,BF-NAPE,no hit
ISG15,-0.285810777055881,0.40420633500000003,2,6.030966610142465,BF-NAPE,no hit
THRAP3,-0.28240250294118874,0.752285278,1,5.3720082864004866,BF-NAPE,no hit
AHRR; PDCD6; PDCD6-AHRR,-0.28109866639434367,0.560957086,1,6.5365950846226255,BF-NAPE,no hit
ARHGAP1,-0.27977191069673046,0.4405937996666667,3,5.41629157184473,BF-NAPE,no hit
ADH5,-0.2794000886860998,0.2753151505,2,6.2211743437521925,BF-NAPE,no hit
Actr3; ACTR3; LOC101343767; LOC103069126; LOC104998468; LOC111142734,-0.27071017836822886,0.6145126,1,6.529922512847964,BF-NAPE,no hit
UQCRFS1,-0.2687916142585511,0.0434404955,2,5.677389533690496,BF-NAPE,no hit
LOC111155454; RAB2; Rab2a; RAB2A,-0.26812470269258104,0.703307868,1,5.966570826655595,BF-NAPE,no hit
COLGALT1,-0.26696067639066934,0.6575755905,2,5.494586498782302,BF-NAPE,no hit
DLST,-0.2669269057319774,0.304897411,3,6.1201544075934855,BF-NAPE,no hit
GANAB; HEL-S-164nA,-0.2668337003327057,0.639546283,1,7.0780445977356985,BF-NAPE,no hit
LOC101342486; LOC111145137; Smc3; SMC3,-0.2642551562309293,0.745006746,1,5.8122936536170045,BF-NAPE,no hit
LOC111159085; RUVBL1,-0.2642551562309293,0.199759411,1,6.673941895121089,BF-NAPE,no hit
ETFA,-0.26196076798674817,0.11119260633333333,3,6.607670863612651,BF-NAPE,no hit
SFN,-0.2616812125671029,0.884231664,1,4.953439189242789,BF-NAPE,no hit
SMARCA5,-0.26057408074364263,0.4174500523333333,3,5.601335410424244,BF-NAPE,no hit
LMNB2,-0.2587990302213025,0.668254103,2,5.639591291553551,BF-NAPE,no hit
ANP32A,-0.2569809985636189,0.25989503,3,6.40945029742965,BF-NAPE,no hit
ACTB; actg1; Actg1; ACTG1; Actg1_0; LOC100409006; LOC106548496; LOC111160249; LOC113225257,-0.2565470610956665,0.692204571,1,7.10126136394319,BF-NAPE,no hit
LOC100410631; LOC101324847; LOC101350612; LOC102744677; LOC102976099; LOC103012082; LOC103663389; LOC106990434; LOC109264103; LOC111147561; LOC111165885; LOC112409079; LOC112818500; LOC116536754; LOC706087; Rps12; RPS12,-0.2565470610956665,0.69090761,1,6.635787778504745,BF-NAPE,no hit
PPA2,-0.2522049074862695,0.237705599,2,5.510421381209762,BF-NAPE,no hit
MYO1C,-0.25184973411332756,0.29236339933333333,3,5.992891358218233,BF-NAPE,no hit
ZYX,-0.25103295653145774,0.4038603435,2,4.875706898084683,BF-NAPE,no hit
ACAD9,-0.24760602735538026,0.410023904,1,5.919281146272402,BF-NAPE,no hit
DNAJA2,-0.24548560122608826,0.7689954745,2,5.037912472756512,BF-NAPE,no hit
DNAJA1,-0.24305582501600576,0.10519552900000001,2,6.362549086344521,BF-NAPE,no hit
RAB5A,-0.24298547007636523,0.66309458,2,5.335977733525718,BF-NAPE,no hit
RPL35A,-0.242521634283648,0.256719452,1,6.347645209635706,BF-NAPE,no hit
CKB; HEL-S-29,-0.2412533308693141,0.260451612,1,7.214083663514102,BF-NAPE,no hit
LONP1,-0.24095801511047435,0.364764897,3,5.82155540141376,BF-NAPE,no hit
XPO5,-0.23761856930260639,0.560019803,2,5.441078725893665,BF-NAPE,no hit
LUC7L2,-0.23729444929898727,0.402694518,3,5.653748242863663,BF-NAPE,no hit
LOC101356704; LOC111161514; PSMC4,-0.2324062901915896,0.864404877,1,5.904399529122342,BF-NAPE,no hit
HEL-S-30; PKM,-0.23114684441899114,0.839070291,1,8.66191306881584,BF-NAPE,no hit
HNRNPR; LOC111154612,-0.22988849716007087,0.294380285,1,6.7147205066256275,BF-NAPE,no hit
LUC7L3,-0.22988849716007087,0.927980173,1,5.244716818408537,BF-NAPE,no hit
EIF2B1,-0.2297837795911587,0.09180464700000002,2,5.566125986352731,BF-NAPE,no hit
CACYBP,-0.22964617932716036,0.19043876366666665,3,6.864337159097845,BF-NAPE,no hit
KPNA3,-0.22361317173358364,0.950628873,1,5.045900461827006,BF-NAPE,no hit
SNRNP70,-0.22206422595650152,0.520506063,3,5.459067933726422,BF-NAPE,no hit
Drg1; DRG1; LOC101583311; LOC111160066,-0.22111066453041353,0.894260234,1,5.90542154471838,BF-NAPE,no hit
RUVBL1,-0.22111066453041353,0.898174128,1,6.7237986979688165,BF-NAPE,no hit
VDAC1,-0.21976706200758686,0.339738525,3,7.209437215781982,BF-NAPE,no hit
Pabpc1; PABPC1,-0.2161186351866594,0.922393118,1,6.882883612709513,BF-NAPE,no hit
LOC100458340; LOC111546096; LOC112207979; LOC112628619; LOC116533938; RPS17,-0.2148733221694241,0.934589836,1,6.860462399148146,BF-NAPE,no hit
DES,-0.21362908316096152,0.972556854,1,5.20516637180802,BF-NAPE,no hit
HEL-S-128m; PRDX6,-0.21362908316096152,0.942566881,1,7.4575215675117095,BF-NAPE,no hit
ATP2B1,-0.21277615030439867,0.797547757,2,5.448087787647826,BF-NAPE,no hit
GOT2,-0.21241938106544567,0.20796633166666667,3,6.581778261855127,BF-NAPE,no hit
GDI1,-0.21236371439397095,0.33216625,3,5.535220603722898,BF-NAPE,no hit
UBA6,-0.2121991711679852,0.3986775235,2,5.4469440121952175,BF-NAPE,no hit
TALDO1,-0.2119252182444044,0.225124305,3,6.629615790650366,BF-NAPE,no hit
NOP56,-0.21170712328253655,0.7088933405,2,5.517276330683657,BF-NAPE,no hit
HNRNPF; HNRPF,-0.21114381977136712,0.355646173,1,6.433066920998115,BF-NAPE,no hit
LOC101347799; LOC111143461; Psma5; PSMA5,-0.21114381977136712,0.918747515,1,6.07030978139378,BF-NAPE,no hit
ACTA1,-0.20975827737697356,0.6130311909999999,2,7.5112114516111275,BF-NAPE,no hit
ACO1,-0.2082683185866908,0.28936770266666667,3,6.217482029102623,BF-NAPE,no hit
PLAA,-0.20694978142767018,0.455246056,3,5.497341275586756,BF-NAPE,no hit
RPS7,-0.204985643020021,0.265493393,3,7.412656773957749,BF-NAPE,no hit
GSTP1; HEL-S-22,-0.20371361429587875,0.99934718,1,7.896851817478287,BF-NAPE,no hit
HSPA1; HSPA1A; HSPA1B; LOC113222861,-0.20371361429587875,0.380379443,1,7.636788741053489,BF-NAPE,no hit
GMPPA,-0.2012453587051291,0.998775736,1,5.28573027857794,BF-NAPE,no hit
SF1,-0.20119436545958325,0.301522505,3,6.128817423414122,BF-NAPE,no hit
CBX1,-0.19984922827015622,0.6671739480000001,2,5.239114735647088,BF-NAPE,no hit
SPR,-0.19509313172353376,0.546879951,1,5.824605665214696,BF-NAPE,no hit
ATP4A,-0.19263956813745164,0.421779704,1,6.349550406005075,BF-NAPE,no hit
HEL-S-52; WDR1,-0.19263956813745164,0.937257123,1,6.592883422279146,BF-NAPE,no hit
LOC101341456; LOC106553108; LOC111152509; LOC112622444; LOC114901775; LOC115493080; TBB7; Tubb; TUBB; Tubb5; TUBB5,-0.19263956813745164,0.932435354,1,7.972701583242123,BF-NAPE,no hit
RPS6,-0.19227672813149754,0.1094178995,2,6.782973954714361,BF-NAPE,no hit
EEF1D,-0.1902155986917702,0.6368088695,2,7.225356946290134,BF-NAPE,no hit
CTNNA2,-0.19019017019613318,0.978148037,1,5.658881678261555,BF-NAPE,no hit
S100A4,-0.19019017019613318,0.434979934,1,6.4793617902255685,BF-NAPE,no hit
PSMD2,-0.18931266115328965,0.27448629533333335,3,6.426247828184215,BF-NAPE,no hit
Phb2; PHB2,-0.18896702892669237,0.914561843,1,6.615082818811348,BF-NAPE,no hit
PLA2G4A,-0.18573545210798573,0.3552278796666667,3,6.340167837703372,BF-NAPE,no hit
TAGLN3,-0.18530381483610742,0.033826009,1,5.652323049108512,BF-NAPE,no hit
NCKAP1,-0.17921905237513017,0.989660758,1,5.036645422986378,BF-NAPE,no hit
EIF4G2,-0.17921354897376712,0.44738141733333336,3,5.8102564936604475,BF-NAPE,no hit
PRDX5,-0.17900199398244482,0.30854713300000003,3,6.828802768910981,BF-NAPE,no hit
CAT,-0.17881357235351356,0.11541015166666667,3,5.964295085585299,BF-NAPE,no hit
ELOA; LOC101356805; LOC111154778; Rpl11; RPL11,-0.17800517343024003,0.481662729,1,6.7315866702546865,BF-NAPE,no hit
Mcts1; MCTS1,-0.17679231498059012,0.98995283,1,5.6298507579240376,BF-NAPE,no hit
UBE2N,-0.17679231498059012,0.595836927,1,5.872046883802456,BF-NAPE,no hit
TXNRD1,-0.1740969694816769,0.38249344333333335,3,7.020533885097436,BF-NAPE,no hit
LOC117799543; RPL10,-0.17195105191109095,0.812148738,1,6.7227911253785475,BF-NAPE,no hit
TYMS,-0.17195105191109095,0.948374392,1,5.790193825889324,BF-NAPE,no hit
CCT5; HEL-S-69,-0.1707432703077849,0.810244642,1,7.024399787942165,BF-NAPE,no hit
KRT18,-0.1700320286503712,0.433907145,3,7.770841136698552,BF-NAPE,no hit
ATP5F1A; HEL-S-123m,-0.16953649897779094,0.516993072,1,7.724062274159444,BF-NAPE,no hit
LOC111146420; LOC111532042; LOC113248414; LOC115471989; Tubb4b; TUBB4B,-0.16953649897779094,0.799473679,1,8.222468873271126,BF-NAPE,no hit
DDX18,-0.16833073623239386,0.966896429,1,5.425373052182911,BF-NAPE,no hit
GNL3,-0.16779054206712646,0.539645636,3,5.6336625927522075,BF-NAPE,no hit
H2AX,-0.16705670858009425,0.31371274,3,7.166334575611471,BF-NAPE,no hit
ILK,-0.1659222297616722,0.964935284,1,5.560723019494539,BF-NAPE,no hit
